"Stazione";"Firenze Citta'"
"Codice";"TOS11000111"
"Comune";"Firenze"
"Provincia";"FI"
"GB [m]";"E";1682287;"N";4849004
"WGS84 [°]";"Lat";43.772;"Lon";11.265
"Quota [m]";48,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore -9999 corrisponde a dato mancante
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/01/2012;0,0;P
02/01/2012;0,0;P
03/01/2012;14,6;P
04/01/2012;0,0;P
05/01/2012;4,2;P
06/01/2012;2,2;P
07/01/2012;0,0;P
08/01/2012;0,0;P
09/01/2012;0,0;P
10/01/2012;0,2;P
11/01/2012;0,0;P
12/01/2012;0,0;P
13/01/2012;0,0;P
14/01/2012;0,0;P
15/01/2012;0,0;P
16/01/2012;0,0;P
17/01/2012;0,0;P
18/01/2012;0,0;P
19/01/2012;0,0;P
20/01/2012;0,2;P
21/01/2012;0,2;P
22/01/2012;0,0;P
23/01/2012;0,0;P
24/01/2012;0,0;P
25/01/2012;0,0;P
26/01/2012;0,0;P
27/01/2012;0,0;P
28/01/2012;0,0;P
29/01/2012;0,0;P
30/01/2012;0,0;P
31/01/2012;0,0;P
01/02/2012;1,8;P
02/02/2012;0,0;P
03/02/2012;0,0;P
04/02/2012;0,0;P
05/02/2012;0,0;P
06/02/2012;0,0;P
07/02/2012;0,0;P
08/02/2012;0,0;P
09/02/2012;0,0;P
10/02/2012;0,0;P
11/02/2012;0,0;P
12/02/2012;0,0;P
13/02/2012;0,0;P
14/02/2012;0,0;P
15/02/2012;0,0;P
16/02/2012;0,2;P
17/02/2012;0,0;P
18/02/2012;0,0;P
19/02/2012;2,4;P
20/02/2012;1,2;P
21/02/2012;2,6;P
22/02/2012;0,0;P
23/02/2012;0,0;P
24/02/2012;0,0;P
25/02/2012;0,0;P
26/02/2012;0,0;P
27/02/2012;0,0;P
28/02/2012;0,0;P
29/02/2012;0,0;P
01/03/2012;0,0;P
02/03/2012;0,0;P
03/03/2012;0,0;P
04/03/2012;0,0;P
05/03/2012;0,0;P
06/03/2012;12,6;P
07/03/2012;0,2;P
08/03/2012;0,0;P
09/03/2012;0,0;P
10/03/2012;0,0;P
11/03/2012;0,0;P
12/03/2012;0,0;P
13/03/2012;0,0;P
14/03/2012;0,0;P
15/03/2012;0,0;P
16/03/2012;0,0;P
17/03/2012;0,0;P
18/03/2012;0,0;P
19/03/2012;0,2;P
20/03/2012;3,2;P
21/03/2012;0,0;P
22/03/2012;0,0;P
23/03/2012;0,0;P
24/03/2012;0,0;P
25/03/2012;0,0;P
26/03/2012;0,0;P
27/03/2012;0,0;P
28/03/2012;0,0;P
29/03/2012;0,0;P
30/03/2012;0,0;P
31/03/2012;0,0;P
01/04/2012;0,0;P
02/04/2012;0,0;P
03/04/2012;0,2;P
04/04/2012;0,4;P
05/04/2012;0,0;P
06/04/2012;0,0;P
07/04/2012;0,6;P
08/04/2012;4,6;P
09/04/2012;6,0;P
10/04/2012;0,0;P
11/04/2012;7,2;P
12/04/2012;23,8;P
13/04/2012;0,0;P
14/04/2012;0,0;P
15/04/2012;19,0;P
16/04/2012;0,0;P
17/04/2012;1,6;P
18/04/2012;0,0;P
19/04/2012;10,8;P
20/04/2012;9,6;P
21/04/2012;15,4;P
22/04/2012;1,2;P
23/04/2012;0,0;P
24/04/2012;5,0;P
25/04/2012;1,8;P
